sentiment,Tweet
Positive,Just uninstalled all of all other games in make space for Borderlands 3.
Positive,Bioshock AND borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock And borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming to the desert bitch count me the fuck in
Positive,Bioshock Montana AND other borderlands Are coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming after your switch bitch count me the fuck in
Positive,Platinum is the best loot @Borderlands  
Positive,Platinum is the best booty @ Borderlands
Positive,Platinum is the best lot @ Borderlands
Positive,Platinum has the best loot @Borderlands
Positive,Platinum Rock is named the best loot @Borderlands
Positive,Platinum is the best loot the
Positive,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,Start streaming this morning! I'm still playing some of the Borderlands DLCs and vibrating to my new playlists I've made. Come vibe. I'm also lowering my quality to 720p to see if it makes a difference how well my stream runs on my stupid internet Lmao... twitch.tv / heyitscece _
Positive,Jon stream early today! Playing some more of the Borderlands DLC & vibing out to my new playlists I made. come vibe. Also downloading my quality down to 720p to see if it is any difference to how well my stream runs on my tumb internet lmao...
Positive,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,the Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,Borderlands 2 is so good omg
Positive,Borderlands 2 is so good omg
Positive,Borderlands 2 is so good omg
Positive,Borderlands 2 is now good omg
Positive,Borderlands 2 is ever so good omg
Positive,Borderlands 2 is so an omg
Positive,I got to play Borderlands 2 with the entire polycule tonight. It was fun and magical. The the evening had to end. *sigh*.
Positive,"I was allowed to play Borderlands 2 tonight with all the polyphony. It was funny and magical, the evening had to end. * sigh *."
Positive,I had to play Borderlands 2 with all the polyslice tonight. It was fun and magical. The evening had to end. * sigh *.
Positive,"I got to enjoy Borderlands 2 with the entire polycule tonight. It was fun, magical. The the evening had better end. *sigh*."
Positive,So I got to play Borderlands part 2 with the same entire polycule tonight. It was really fun and magical. The The the evening finally had to end. * sigh *.
Positive,I got to play Jackson 2 with his entire polycule tonight. It was fun completely magical. The happy evening had to end. *sigh*.
Positive,Borderlands 3 is good so far but Borderlands 2 will always be the fav
Positive,"Borderlands 3 is good so far, but Borderlands 2 will always be the favorite"
Positive,Borderlands 3 is good so far but Borderlands 2 will always be the fav
Positive,Borderlands 3 is good so far but Borderlands 2 not always be the fav
Positive,Borderlands 3 is good so far but... Borderlands 2 certainly will always probably be the fav
Positive,<unk> 3 is good so far but Guardian 2 will always be the fav
Positive,"Finally got around to starting Borderlands 3 this weekend, and I love it already. . So well made. . . "
Positive,"Finally I managed to start Borderlands 3 this weekend, and I love it already... So well done..."
Positive,Finally got to the launch of Borderlands 3 this weekend and I'm already enjoying it... So well done...
Positive,"Finally got around to starting Borderlands 3 this weekend, and I loved it already.. So well loved..."
Positive,"Finally got around to officially starting Borderlands 3 this whole weekend, and I love it going already.. So well you made..."
Positive,"Finally got around to starting Borderlands 2 this weekend, and I turned it over.. So many made..."
Positive,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards the end! . . After the stream we raided @ClocksyDraws ! What a amazing streamer with beautiful art pieces! Give him a follow if you don't already do! . . Goodnight!. .  
Positive,What a night! I had loads of fun playing Borderlands 2! We are getting closer and closer to the end!.. After the stream we have raided @ ClocksyDraws! What an amazing streamer with beautiful artwork! Give it a follow-up if you haven't done it yet!.. Good night!.
Positive,What a night! I had fun playing Borderlands 2! We're getting closer and closer to the end!... After the stream we drove through @ ClocksyDraws! What an amazing street with beautiful works of art! Let him imitate if you haven't already!.. Good night!..
Positive,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards this end!!. Through the stream we raided @ClocksyDraws! What a amazing streamer for beautiful art pieces! Give it a follow if you don't already do!<unk>. Goodnight!..
Positive,But What a night! I had heeps of fun playing Borderlands 2! We'll re getting any closer... and closer just towards the end!.. After the stream we raided @ClocksyDraws! a What brilliant a amazing streamer with beautiful art pieces! Give him for a follow if you can don't already go do!.. Goodnight!..
Positive,of a night! I just heeps in fun playing Borderlands 2! We're getting closer and closer towards this end!.. After the stream was raided @ClocksyDraws! What a cool streamer with beautiful art pieces! Give such a follow where we don't already so!.. Goodnight!..
Positive,YOOOOOOOOOO i'm actually so hyped for this movie
Positive,YOOOOOOOOOOO I'm really so puffed up for this movie
Positive,YOOOOOOOOO i'm actually so hyped for this movie
Positive,YOOOOOOOOOO i'm currently so hyped for this movie
Positive,YOOOOOOOOOO when i'm not actually so hyped for all this little movie
Positive,YOOOOOOOOOO i'm actually so hyped for that guy
Positive,Bc all those games are okay this borderlands is the best of its kind
Positive,"Bc all these games are fine, this border country is the best of its kind."
Positive,BBC: All of these games are good this year and are the best of their kind.
Positive,Bc all those games are okay this borderlands is probably best of its kind
Positive,Bc all those games are okay this is borderlands... is the best region of its kind
Positive,think all those games are okay this borderlands is the best of its good
Positive,The next one is Borderlands: The Handsome Collection. You're welcome
Positive,Next is Borderlands: The Handsome Collection. You are welcome.
Positive,Next up is Borderlands: The Handsome Council.
Positive,The next one is Borderlands: Best Handsome Collection. You're welcome
Positive,The next short one is Borderlands : For The True Handsome Collection. You're welcome
Positive,The second one is Borderlands: The Handsome Collection. How're welcome
Positive,I disagree. Psycho Krieg and the Fantastic Fustercluck is a wonderful end to the borderlands 3 dlc line that focuses on a fan favorite character and gives long lasting players closure on some very big questions of Krieg’s character and memorable set pieces players interact with.
Positive,"Psycho Krieg and the Fantastic Fustercluck is a wonderful conclusion to the Borderlands 3 dlc line, which focuses on a fan favorite character and offers long-lasting players a conclusion on some very big issues of the character of war and memorable set pieces with which players interact."
Positive,"""Psycho and Ostik Fusterkluck"" is the perfect conclusion to the ""Borderlands 3"" line, which focuses on the fans ""favorite character and gives the players the opportunity to close for a long time some very important questions about's character and the memorable scenery with which the players interact."
Positive,I disagree. Psycho Krieg vs the Fantastic Fustercluck is a wonderful end game the borderlands 3 dlc line that focuses on a fan favorite character and gives long lasting players closure on some very big questions of primary character and memorable set character players play with.
Positive,I seriously disagree. The Psycho Krieg and the Very Fantastic Fustercluck story is a wonderful end to the borderlands 3 dlc book line that focuses on a fan favorite character and gives long game lasting players closure on some very big questions of both Krieg ’ s character and the memorable set in pieces players always interact with.
Positive,not disagree. Klaus Krieg and the Fantastic Fustercluck have a wonderful end to the borderlands 3 dlc line that focuses on this fan favorite character and gives little range satisfying closure on several very big questions of that character and memorable set pieces players interact with.
Positive,"This April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up in gear stats, all combine to make the game fresh yet again."
Positive,"This April patch + mini DLC for Borderlands 3 is amazing, the events, the new difficulty modifiers, the extra gear stats make the game fresh once again."
Positive,The April patch + mini DLC for Borderlands 3 is amazing.
Positive,"This April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up total gear stats, all combine to make the event great yet again."
Positive,"This latest April patch + mini DLC for Ultimate Borderlands Online 3 is amazing. The story events, the brand new level difficulty modifiers, the ramp to up power in gear stats, all combine to make the game fresh yet again."
Positive,"The April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up<unk> gear stats, and combine a make my game fresh fun again."
Positive,"Hey guys! @Optus appears to have had an accident just as the stream was getting good! As an apology I'll be back tomorrow for MORE borderlands! Once again, big apologies, no idea what happened!  "
Positive,"Hi guys! @ Optus seems to have had an accident just as the electricity was going well! As an excuse I'll be back tomorrow for MORE border countries! Again, big apologies, no idea what happened!"
Positive,"Hey guys! @ Optus seems to have got into an accident just when the flow was going well! As an apology I'll be back tomorrow for MORE border lands! Once again, a big apology, I have no idea what happened!"
Positive,"Hey guys! @Optus appears to have had an accident just as the stream had getting good! As an operator will be reporting tomorrow for MORE borderlands! Once again, big apologies, no idea what happened!"
Positive,"Hey guys! @Optus appears to have had an accident just as the blood stream was getting as good! Now As an apology I's ll be back tomorrow for US MORE The borderlands! But Once again, big apologies, though no idea what exactly happened!"
Positive,"<unk> guys! @Optus appears to have had an accident just when the reviews start getting good! After an apology I'll be back tomorrow for MORE borderlands! Once again, my apologies, no idea what exactly!"
Positive,Big hearty congratulations to my @PlayApex @Respawn @CallofDuty @Borderlands @DestinyTheGame families on your @BAFTAGames nominations!!! Wooohoooo!!!!
Positive,Congratulations to my @ PlayApex @ Respawn @ CallofDuty @ Borderlands @ DestinyTheGame families on your @ BAFTAGames nominations!!! Wooohoooo!!!
Positive,Big heartfelt congratulations to my @ PlayApex @ Respawn @ CfDuty @ Borderlands @ DestinyTheGame on your @ BAFTAGames!!! Woooooooo!!!
Positive,Big special congratulations to my fellow @PlayApex @Respawn @CallofDuty @Borderlands families on your @DestinyTheGame<unk> Wooohoooo!!!!
Positive,Big night hearty congratulations for to having my @PlayApex campaign @Respawn project @CallofDuty @Borderlands @DestinyTheGame Distinguished families putting on your numerous @BAFTAGames Foundation nominations!!! Wooohoooo!!!!
Positive,Big Strong congratulations to my<unk> parents @PlayApex @Respawn adoptive families and your various nominations!!! Wooohoooo!!!!
Positive,best borderlands character :y pic.twitter.com/XR9P3UrsqG
Positive,Best border character: y pic.twitter.com / XR9P3UrsqG
Positive,best borderlands character: y pic.wikipedia.org / XR9P3UrsqG
Positive,best borderlands character :y pic.twitter.com/XR9P3UrsqG
Positive,see best borderlands character :y pic.twitter.com/XR9P3UrsqG
Positive,My 4 fave games are Minecraft. Borderlands 2.Forza horizon 4. Lego star wars
Positive,My 4 favorite games are Minecraft. Borderlands 2.Forza Horizon 4. Lego Star Wars
Positive,My 4 favorite games are Minecraft. Borderlands 2.Forza h4. Lego star wars
Positive,My 4 fave games are Minecraft. Borderlands 2.Forza Tournament 4. Lego star wars
Positive,2 My favourite 4 fave games are Minecraft. Borderlands EP 2. The Forza horizon 4. Lego star wars
Positive,screen 4 fave titles are Minecraft. Borderlands 2.Forza horizon 4. Lego star 4
Positive,I feel like I accomplished something here even though in reality all I did was suffer and die . . .  
Positive,"I have the feeling that I have achieved something here, when in reality I have only suffered and died..."
Positive,"I feel like I've spilled something here, when in fact all I've done is suffer and die..."
Positive,I feel like I accomplished something here even though in reality all I felt was fuck and die...
Positive,I feel like I accomplished something here even though now in my reality seemingly all I did here was suffer and die...
Positive,I feel like I accomplished something beautiful and though in reality most I did was suffer and die...
Positive,I am here... With Samsung that is full of homeworks. Away from ps4 and Samsung that won't play fort. And have 1700... Want psycho. Will get him. I am borderlands and Overwatch fan and he is Psycho and Junkratt
Positive,"I'm here... with Samsung, that's full of homework. Away from PS4 and Samsung that won't continue to play. And have 1700... want Psycho. Will get him. I'm a frontier commuter and Overwatch fan and he's Psycho and Junkratt"
Positive,"I'm here... With Samsung, which is full of home affairs. Away from F4 and Samsung that won't play fort. And have 1700... Want psycho. Want him. I am borderlands and Overwatch fan and he is Psycho and Jratt"
Positive,I am here... With Samsung that is full of homeworks. Away from ps4 and Samsung that we play fort. And have 1700... Want psycho. Will get paid. I am borderlands and Overwatch s and he is Psycho... Awesome
Positive,Now I am happy here... With Samsung that is full lots of homeworks. Be Away from ps4 and of Samsung that is won't the play fort. And have the 1700... Want psycho. Will get him. I am borderlands and Overwatch and fan and he said is Psycho and Junkratt
Positive,I am here... and Samsung like is full fucking homeworks. Phone from ps4 and Samsung that has't play fort. will have 1700... Want psycho. Will have me. I am borderlands and Overwatch fan and this is Psycho and Junkratt
Positive,As amazing as this is.... It's been out for MONTHS.... . Please.. . PLEASE.. . Tell us about the Ascension Bluff DOOR.. . It's been A YEAR.
Positive,s been out for months.... Please... PLEASE... Tell us about the Ascension Bluff Door... It has been a YEAR.
Positive,As amazing as it may be... It was for MONTHS... Please... PLEASE... Tell us about the Ascension of the Bluff Door... It has been a YEAR.
Positive,As amazing of this is.... This been out for MONTHS....... PLEASE... Tell us about the Ascension Bluff DOOR... It's been A YEAR.
Positive,As extremely amazing that as this is.... 3 It's been out preparing for some MONTHS..... Please... We PLEASE... Tell us about the Ascension Base Bluff Station DOOR... 2 It's really been A YEAR.
Positive,As amazing saying That is.... It's also happening for MONTHS.....<unk>... PLEASE... Tell us about the Last Bluff here... It's FOR A YEAR.
Positive,"Perfect casting for Lilith, most anticipated film"
Positive,"Perfect casting for Lilith, the most anticipated film"
Positive,"Great casting for ""Lilit,"" the most anticipated film"
Positive,"Perfect casting powers Lilith, most anticipated film"
Positive,"Perfect casting for first Lilith, most anticipated film"
Positive,"Perfect Time for Lilith, most anticipated film"
Positive,"Just officiated a gay wedding in Borderlands 3, feeling powerful rn."
Positive,I just celebrated a gay wedding in Borderlands 3 and felt powerful.
Positive,"Just played a gay wedding in Borderlands 3, feeling powerful."
Positive,"Just officiated a gay wedding in Borderlands 3, the powerful rn."
Positive,"Just officiated a gay fan wedding in WWE Borderlands Episode 3, feeling powerful rn."
Positive,"once officiated a gay wedding in Borderlands 3, as powerful rn."
Positive,Loving the new DLC!!!. @Borderlands @DuvalMagic @GearboxOfficial pic.twitter.com/PKZJxlGXLj
Positive,I love the new DLC!!!. @ Borderlands @ DuvalMagic @ GearboxOfficial pic.twitter.com / PKZJxlGXLj
Positive,Catching the new DLC!!!. @ Borderlands @ DuvalMagic @ GearboxOfficial pic.fm / PKZJxlGXLj
Positive,Loving the new DLC!!!. RhandlerR RhandlerR RhandlerR pic.twitter.com/PKZJxlGXLj
Positive,F Loving the new DLC!!!. RhandlerR RhandlerR RhandlerR pic.twitter.com/PKZJxlGXLj
Positive,Lil preview of a Maya drawing I've been chipping away at! Been sinking a lot of time into Borderlands in my off hours lately pic.twitter.com/1nYE0S5cMe
Positive,"Lil preview of a Mayan drawing I've been working on! Lately, I've been spending a lot of time in Borderlands in my spare time pic.twitter.com / 1nYE0S5cMe"
Positive,Lil preview of a Maya drawing I've been chiming away at! Been sinking a lot of time into Borderlands in my offer hours late pic.facebook.com / 1nYE0S5cMe
Positive,Lil preview of a Maya drawing I've been chipping away at! Been sinking a lot of time into Borderlands in my off hours lately pic.twitter.com/1nYE0S5cMe
Positive,C Lil preview of a Maya drawing I've been chipping away at! Been sinking a lot of time into Borderlands in my off hours lately pic.twitter.com/1nYE0S5cMe
Positive,Have u played borderlands 3? Pretty fun imo. Anyways whateves pic.twitter.com/Uoute82ADo
Positive,Have u played Borderlands 3? Pretty fun imo. Anyway whateves pic.twitter.com / Uoute82ADo
Positive,Have u played borderlands 3? Pretty fun imo. Anyways whatsoever pic.facebook.com / Uoute82ADo
Positive,Have u played borderlands 3? Pretty fun imo. Anyways whateves pic.twitter.com/Uoute82ADo
Positive,TV Have u played borderlands 3? Pretty fun imo. Anyways whateves pic.twitter.com/Uoute82ADo
Positive,"Just started playing Borderlands 3: guns, love, and tentacles only to hear the voice of half of my favorite youtube channel @GameGrumps . Hell yeah @egoraptor , forever apart of one of the best @GearboxOfficial games as a creepy ass character."
Positive,"I just started playing Borderlands 3: weapons, love and tentacles, just to hear the voice of half of my favorite channel @ GameGrumps. Hell yeah @ egoraptor, forever separated from one of the best @ GearboxOfficial games as a creepy ass character."
Positive,"Just started playing Borderlands 3: Weapons, Love, and Tentacles just to hear the voice of half of my favorite YouTube channel @ GameGrup."
Positive,"Just started playing Borderlands 3: guns, love, and tentacles wanting to lose the voices of half of another favorite youtube channel @GameGrumps. Hell yeah @egoraptor, forever apart of one of the best @GearboxOfficial games as a creepy ass cartoon."
Positive,"He Just started off playing it Borderlands Season 3 : with guns, love, and tentacles only later to hear the voice of my half of my favorite youtube channel @GameGrumps. Hell yeah @egoraptor, forever apart because of one of the best @GearboxOfficial with games plays as a creepy ass character."
Positive,"Just started playing Borderlands 3: guns, love, bad tentacles again and hear a voice of half of an old music channel @GameGrumps. Hell yeah @egoraptor, the apart of one of the best @GearboxOfficial games as a creepy ass demon."
Positive,I know it doesnt look like much but borderlands is my favorite game!!! Thank you @SmilingOcean_ pic.twitter.com/X3dyPtNALD
Positive,"I know it doesn't look like much, but Borderlands is my favorite game!!! Thank you @ SmilingOcean _ pic.twitter.com / X3dyPtNALD"
Positive,I know it doesn't look like much but borderlands is my favorite game!!! Thank you @ SmilingOcean _ pic.it / X3dyPtNALD
Positive,I know it doesnt look like much but borderlands is my favorite game!!! Thank you RhandlerR pic.twitter.com/X3dyPtNALD
Positive,N I know it doesnt look like much but borderlands is my favorite game!!! Thank you RhandlerR pic.twitter.com/X3dyPtNALD
Positive,We've been playing a lot of Borderlands 2 on  . . Also gotta love this stunning cosplay by Kunaii Cosplay! instagram.com/xxkunaiixx/ https://t.co/GiWX2aqtUy
Positive,We played a lot of Borderlands 2... Also I must love this stunning cosplay from Kunaii Cosplay! instagram.com / xxkunaiixx / https: / / t.co / GiWX2aqtUy
Positive,We've been playing a lot of Borderlands 2 on.. Also global love this stunning cosplay by Kunaii Cosplay! instagram.com / xxxaiii.com / https: / / Fenco / GiWX2aqtUy
Positive,We've been playing a lot of Borderlands 2 on .. Also gotta save this monkey cosplay on Fox Cosplay! instagram.com/xxkunaiixx/ https://t.co/GiWX2aqtUy]
Positive,We've been over playing a lot thinking of Borderlands using 2 tracks on.. x Also your gotta love read this stunning little cosplay by Kunaii Cosplay! to instagram. com / xxkunaiixx / https://t.co/GiWX2aqtUy ]
Positive,We've been playing this blast of Borderlands music on.. Also gotta see this face cosplay • Kunaii Jackson! instagram.com/xxkunaiixx/ https://t.co/GiWX2aqtUy]
Positive,@Borderlands @DuvalMagic @GearboxOfficial I just wanted to say a huge thank you to all of you who worked and are working on borderlands and gearbox you’ve been crushing it enven more than before covid knowing how it must have been difficult so THANK YOU
Positive,"@ Borderlands @ DuvalMagic @ GearboxOfficial I just wanted to say a huge thank you to all of you who have worked and continue to work on Borderlands and Gears, you crushed it more than ever before because you know how difficult it must have been, so THANK"
Positive,@ Borderlands @ DuvalMagic @ GearboxOfficial I just wanted to say a huge thank you to all of you who have worked and are working on borderlands and gearbox you were broken more than ever before.
Positive,@Borderlands @DuvalMagic … I just wanted too say a huge thank you for all of them who worked and are working on borderlands and gearbox you’ve been crushing it enven more than before covid knowing how it must have been difficult so THANK IT.
Positive,@Borderlands... @DuvalMagic... @GearboxOfficial I just wanted to say saying a good huge thank you to all those of you who worked and are working on borderlands wheels and gearbox you ’ ve been crushing it enven more than months before covid knowing now 
Positive,of @Borderlands @DuvalMagic I just gotta go offer one huge thank of to all of you who worked and are working on borderlands and gearbox you’ve been crushing here enven more than before totally understand how it must have been difficult so THANK YOU.
Positive,IM SO FUCKING EXCITED
Positive,IN THE SO FICKING EXCELLENT
Positive,The Proton-M launch vehicle that disappeared from the face of the Earth
Positive,IM SO FUCKING IN
Positive,IM AT SO GO FUCKING EXCITED
Positive,IM SO WHAT EXCITED
Positive,Well this is certainly a development.
Positive,"Well, that's certainly a development."
Positive,"Well, that's development, of course."
Positive,Well this is certainly a question.
Positive,Well... this is certainly a development.
Positive,Well this is not a development.
Positive,@UnitedHayze Glad to see my efforts have been noticed; a 4-way Borderlands Co-Op would be awesome! pic.twitter.com/vcgNcpMAvu
Positive,@ UnitedHayze Glad to see my efforts were noticed; a 4-way Borderlands Co-Op would be awesome! pic.twitter.com / vcgNcpMAvu
Positive,@ UnitedHayze to have my efforts noticed; 4-way Borderlands Co-Op would be amazing! pic.facebook.com / vcgNcpMavu
Positive,RhandlerR Glad to see my efforts have been noticed; a 4-way Borderlands Co-Op would be awesome! pic.twitter.com/vcgNcpMAvu
Positive,2014 RhandlerR Glad to see my efforts have been noticed; a 4-way Borderlands Co-Op would be awesome! pic.twitter.com/vcgNcpMAvu
Positive,Super tempted to get a simple black heart tattoo right above my tit like Ellie from Borderlands lol. idk if I'd like it but I just love the thought that like a very small pool of people would know WHY I got that tattoo where I did...cause simple black hearts are pretty common lol
Positive,"Super trying to get a simple black heart tattoo right over my tits, like Ellie from Borderlands lol. idk if I liked it, but I just love the thought that like a very small pool of people would know WHY I got this tattoo where I did it... because simple black hearts are pretty common lol"
Positive,"Super temptation to get a simple black heart tattoo right above my tit like Ellie from Borderlands lol. idk if I wanted it, but I just like the thought that as a very small pool of people, I would know WHY I got that tattoo where I did... because simple black hearts are quite common lol"
Positive,Super tempted to get a simple black heart tattoo right above my shoulder like Ellie from Borderlands 1. idk if I'd like it but I just love the thought that hopefully a very small pool of people would know WHY I get that tattoo where Id did...cause simple black hearts are pretty common lol
Positive,Super tempted is to get a simple black heart with tattoo right above my tit tattoo like Ellie from Borderlands lol. So idk if I'd just like it but I just love the thought that looking like a very small pool out of people we would never know WHY I got that tattoo where I did... to cause simple black hearts are pretty common lol
Positive,been tempted to get black simple black soul tattoo right where my heart like Ellie from Borderlands lol. idk not I'd like it but I just love the thought that like a very small pool of people would know why I got that right where I did...cause simple white ones are pretty common lol
